Query,Output
"Find all work items associated with the Rev organizations REV-123 and REV-456 that need a response, and then summarize them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": []
      {
        ""argument_name"": ""ticket.rev_org"",
        ""argument_value"": [""REV-123"", ""REV-456""]
      },
      {
        ""argument_name"": ""ticket.needs_response"",
        ""argument_value"": True
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": []
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Retrieve work items with low severity and owned by USER-123, and then add them to the current sprint.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.severity"",
        ""argument_value"": ""low""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-123""
      }
    ]
  },
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""add_work_items_to_sprint"",
    ""arguments"": [
      {
        ""argument_name"": ""work_ids"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""sprint_ids"",
        ""argument_value"": ""$$PREV[1]""
      }
    ]
  }
]"
"Search for objects related to ""ProjectY,"" find the work items related to the search results, and then prioritize them.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProjectY""
      }
    ]
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[1]""
      }
    ]
  }
]"
Get the current sprint ID and then retrieve work items associated with that sprint and create a summary.,"[
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[1]""
      }
    ]
  }
]"
Get the current user's ID and then find all work items owned by that user.,"[
  {
    ""tool_name"": ""who_am_i"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
Retrieve work items associated with a specified sprint ID and then summarize them.,"[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""Sprint-123""
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Search for objects related to ProductABC, retrieve work items related to the search results, and then add them to the current sprint.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProductABC""
      }
    ]
  },
  {
    ""tool_name"": ""add_work_items_to_sprint"",
    ""arguments"": [
      {
        ""argument_name"": ""work_ids"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""$$PREV[1]""
      }
    ]
  }
]"
"Find all work items with ticket type and associated with ChannelA and ChannelB source channels, then create action items from the results.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""type"",
        ""argument_value"": ""ticket""
      },
      {
        ""argument_name"": ""ticket.source_channel"",
        ""argument_value"": [""ChannelA"", ""ChannelB""]
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Get a list of work items in the review stage under part PART-456, and then prioritize them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""stage.name"",
        ""argument_value"": ""review""
      },
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": ""PART-456""
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Search for objects related to CustomerXYZ and retrieve work items associated with the search results, then add them to a specified sprint.
","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""CustomerXYZ""
      }
    ]
  },
  {
    ""tool_name"": ""add_work_items_to_sprint"",
    ""arguments"": [
      {
        ""argument_name"": ""work_ids"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""Sprint-789""
      }
    ]
  }
]"
"Get work items associated with Issue-123 and Issue-456, and then summarize them. Output:","[
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": [""Issue-123"", ""Issue-456""]
      }
    ]
  }
]"
Find all work items with high severity that need a response and owned by USER-789 and USER-456.,"[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.severity"",
        ""argument_value"": ""high""
      },
      {
        ""argument_name"": ""ticket.needs_response"",
        ""argument_value"": true
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": [""USER-789"", ""USER-456""]
      }
    ]
  }
]"
"Search for objects related to ProjectZ, retrieve work items associated with the search results, and then get the current sprint ID.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProjectZ""
      }
    ]
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  },
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  }
]"
Get the ID of the current sprint and then find work items associated with that sprint and have p3 priority.,"[
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": ""p3""
      }
    ]
  }
]"
"Search for objects related to ProductX, retrieve work items associated with the search results, and then summarize them.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProductX""
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Get work items associated with ChannelC and ChannelD source channels that need a response and have high severity, and then prioritize them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.source_channel"",
        ""argument_value"": [""ChannelC"", ""ChannelD""]
      },
      {
        ""argument_name"": ""ticket.severity"",
        ""argument_value"": [""high""]
      },
      {
        ""argument_name"": ""ticket.needs_response"",
        ""argument_value"": true
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Find all work items of type issue owned by USER-456 and have p2 priority, and then create action items from them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""type"",
        ""argument_value"": ""issue""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-456""
      },
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": ""p2""
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Search for objects related to ProjectA, retrieve work items associated with the search results, and add them to a specified sprint.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProjectA""
      }
    ]
  },
  {
    ""tool_name"": ""add_work_items_to_sprint"",
    ""arguments"": [
      {
        ""argument_name"": ""work_ids"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""Sprint-456""
      }
    ]
  }
]"
Find work items in the planning stage under part PART-789 owned by USER-123 and create action items from them.,"[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""stage.name"",
        ""argument_value"": ""planning""
      },
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": ""PART-789""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": [""USER-123""]
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Retrieve the current user's ID and then find all work items of type ""task"" owned by that user.","[
  {
    ""tool_name"": ""who_am_i"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""type"",
        ""argument_value"": ""task]
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Search for objects related to ""Customer123,"" retrieve work items associated with the search results, and summarize them. Output:","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""Customer123""
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Find all work items with ""p1"" priority and ""p3"" priority and create action items from them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": [""p1"", ""p3""]
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
" Get work items associated with ""ProjectB"" and ""ProjectC,"" and then prioritize them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": [""ProjectB"", ""ProjectC""]
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
" Search for objects related to ""Part123,"" retrieve work items associated with the search results, and add them to a specified sprint.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""Part123""
      }
    ]
  },
  {
    ""tool_name"": ""add_work_items_to_sprint"",
    ""arguments"": [
      {
        ""argument_name"": ""work_ids"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""Sprint-789""
      }
    ]
  }
]"
"Search for work items with the keyword ""urgent"" in their descriptions and add them to the current sprint.","[
    {
        ""tool_name"": ""search_object_by_name"",
        ""arguments"": [
            {
                ""argument_name"": ""query"",
                ""argument_value"": ""urgent""
            }
        ]
    },
    {
        ""tool_name"": ""get_sprint_id"",
        ""arguments"": []
    },
    {
        ""tool_name"": ""add_work_items_to_sprint"",
        ""arguments"": [
            {
                ""argument_name"": ""work_ids"",
                ""argument_value"": ""$$PREV[0]""
            },
            {
                ""argument_name"": ""sprint_id"",
                ""argument_value"": ""$$PREV[1]""
            }
        ]
    }
]
"
" Retrieve work items associated with the Rev organization ""REV-123"" and owned by the user ""DEVU-789."" Summarize them and prioritize by severity.","[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""ticket.rev_org"",
                ""argument_value"": ""REV-123""
            },
            {
                ""argument_name"": ""owned_by"",
                ""argument_value"": ""DEVU-789""
            }
        ]
    },
    {
        ""tool_name"": ""summarize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    },
    {
        ""tool_name"": ""prioritize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[1]""
            }
        ]
    }
]
"
Retrieve all issue work items that need a response and are associated with the Rev organization REV-789,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""ticket.needs_response"",
                ""argument_value"": true
            },
            {
                ""argument_name"": ""ticket.rev_org"",
                ""argument_value"": ""REV-789""
            },
            {
                ""argument_name"": ""type"",
                ""argument_value"": ""issue""
            }
        ]
    }
]
"
Find work items with specific part IDs PART-003 and PART-004 that are owned by the user DEVU-123.,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""applies_to_part"",
                ""argument_value"": [""PART-003"", ""PART-004""]
            },
            {
                ""argument_name"": ""owned_by"",
                ""argument_value"": ""DEVU-123""
            }
        ]
    }
]
"
Find work items of type ticket that need a response and are associated with the Rev organization REV-456. Summarize these tickets and prioritize them.,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""ticket.needs_response"",
                ""argument_value"": true
            },
            {
                ""argument_name"": ""ticket.rev_org"",
                ""argument_value"": ""REV-456""
            },
            {
                ""argument_name"": ""type"",
                ""argument_value"": ""ticket""
            }
        ]
    },
    {
        ""tool_name"": ""summarize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    },
    {
        ""tool_name"": ""prioritize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[1]""
            }
        ]
    }
]
"
Retrieve work items with a specific part ID PART-005 and a priority of p2. Summarize these work items and create actionable tasks from the summary.,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""applies_to_part"",
                ""argument_value"": ""PART-005""
            },
            {
                ""argument_name"": ""issue.priority"",
                ""argument_value"": ""p2""
            }
        ]
    },
    {
        ""tool_name"": ""summarize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    },
    {
        ""tool_name"": ""create_actionable_tasks_from_text"",
        ""arguments"": [
            {
                ""argument_name"": ""text"",
                ""argument_value"": ""$$PREV[1]""
            }
        ]
    }
]
"
Retrieve work items that are similar to TKT-789 and add them to the current sprint. Get the ID of the current sprint and prioritize the added work items.,"[
    {
        ""tool_name"": ""get_similar_work_item"",
        ""arguments"": [
            {
                ""argument_name"": ""work_id"",
                ""argument_value"": ""TKT-789""
            }
        ]
    },
    {
        ""tool_name"": ""add_work_items_to_sprint"",
        ""arguments"": [
            {
                ""argument_name"": ""work_ids"",
                ""argument_value"": ""$$PREV[0]""
            },
            {
                ""argument_name"": ""sprint_id"",
                ""argument_value"": ""$$PREV[1]""
            }
        ]
    },
    {
        ""tool_name"": ""get_sprint_id"",
        ""arguments"": []
    },
    {
        ""tool_name"": ""prioritize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    }
]
"
Retrieve work items with a specific part ID PART-004 that are in the in-progress stage. Summarize them and create actionable tasks from the summary.,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""applies_to_part"",
                ""argument_value"": ""PART-004""
            },
            {
                ""argument_name"": ""stage.name"",
                ""argument_value"": ""in-progress""
            }
        ]
    },
    {
        ""tool_name"": ""summarize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    },
    {
        ""tool_name"": ""create_actionable_tasks_from_text"",
        ""arguments"": [
            {
                ""argument_name"": ""text"",
                ""argument_value"": ""$$PREV[1]""
            }
        ]
    }
]
"
 Retrieve work items with a specific part ID PART-006 and prioritize them by severity.,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""applies_to_part"",
                ""argument_value"": ""PART-006""
            }
        ]
    },
    {
        ""tool_name"": ""prioritize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    }
]
"
Retrieve work items associated with the Rev organization REV-123 that need a response and are of priority p2. Summarize them.,"[
    {
        ""tool_name"": ""works_list"",
        ""arguments"": [
            {
                ""argument_name"": ""ticket.rev_org"",
                ""argument_value"": ""REV-123""
            },
            {
                ""argument_name"": ""ticket.needs_response"",
                ""argument_value"": true
            },
            {
                ""argument_name"": ""issue.priority"",
                ""argument_value"": ""p2""
            }
        ]
    },
    {
        ""tool_name"": ""summarize_objects"",
        ""arguments"": [
            {
                ""argument_name"": ""objects"",
                ""argument_value"": ""$$PREV[0]""
            }
        ]
    }
]
"
"Find all work items in the ""design"" stage owned by ""USER-789"" and have ""p2"" priority, and then get the current sprint ID.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""stage.name"",
        ""argument_value"": ""design""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-789""
      },
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": ""p2""
      }
    ]
  },
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  }
]"
"Search for objects related to ""Part456,"" retrieve work items associated with the search results, and summarize them.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""Part456""
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Get work items with ""medium"" severity and associated with ""ChannelX"" and ""ChannelY"" source channels, and then create action items from them.
","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.severity"",
        ""argument_value"": [""medium""]
      },
      {
        ""argument_name"": ""ticket.source_channel"",
        ""argument_value"": [""ChannelX"", ""ChannelY""]
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Search for objects related to ""ProjectD,"" retrieve work items associated with the search results, and add them to a specified sprint.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProjectD""
      }
    ]
  },
  {
    ""tool_name"": ""add_work_items_to_sprint"",
    ""arguments"": [
      {
        ""argument_name"": ""work_ids"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""Sprint-999""
      }
    ]
  }
]"
"Find all work items of type ""task"" and owned by ""USER-123,"" and then retrieve the ID of the current sprint.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""type"",
        ""argument_value"": ""task""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-123""
      }
    ]
  },
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  }
"
"Get work items in the ""development"" stage under part ""PART-789"" and owned by ""USER-456"" and ""USER-789,"" and then summarize them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""stage.name"",
        ""argument_value"": ""development""
      },
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": ""PART-789""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": [""USER-456"", ""USER-789""]
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Search for objects related to ""Part789,"" retrieve work items associated with the search results, and prioritize them.","[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""Part789""
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Find all work items with ""p0"" priority and ""p1"" priority and owned by ""USER-123,"" and then create action items from them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": [""p0"", ""p1""]
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-123""
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]"
"Retrieve the current user's ID and then find all work items of type ""issue"" owned by that user and have ""p3"" priority.","[
  {
    ""tool_name"": ""who_am_i"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""type"",
        ""argument_value"": ""issue""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""$$PREV[0]""
      },
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": ""p3""
      }
    ]
  }
]"
